"accession","gene.name"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRAL_MOUSE","Abracl"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ABRX2_MOUSE","Abraxas2"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACACA_MOUSE","Acaca"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD8_MOUSE","Acad8"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACAD9_MOUSE","Acad9"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADL_MOUSE","Acadl"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADM_MOUSE","Acadm"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADS_MOUSE","Acads"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACADV_MOUSE","Acadvl"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACBP_MOUSE","Dbi"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACDSB_MOUSE","Acadsb"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHB_MOUSE","Chrnb1"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACHG_MOUSE","Chrng"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACINU_MOUSE","Acin1"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACL6A_MOUSE","Actl6a"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACLY_MOUSE","Acly"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACO13_MOUSE","Acot13"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOC_MOUSE","ACOC_MOUSE"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACOD1_MOUSE","Scd1"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACON_MOUSE","Aco2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT2_MOUSE","Acot2"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT8_MOUSE","Acot8"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOT9_MOUSE","Acot9"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACOX3_MOUSE","Acox3"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACPM_MOUSE","Ndufab1"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSF2_MOUSE","Acsf2"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL1_MOUSE","Acsl1"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL3_MOUSE","Acsl3"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACSL4_MOUSE","Acsl4"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTA_MOUSE","Acta2"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTB_MOUSE","Actb"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN1_MOUSE","Actn1"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN2_MOUSE","Actn2"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN3_MOUSE","Actn3"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTN4_MOUSE","Actn4"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTS_MOUSE","Acta1"
"ACTY_MOUSE","Actr1b"
